"trace_id","activities","owner","employed","car_owner","income"
"0","activity_02","no","yes","no","middle"
"0","activity_01","no","yes","no","middle"
"0","activity_03","no","yes","no","middle"
"0","activity_04","no","yes","no","middle"
"0","activity_01","no","yes","no","middle"
"0","activity_03","no","yes","no","middle"
"0","activity_03","no","yes","no","middle"
"1","activity_08","yes","yes","no","low"
"1","activity_09","yes","yes","no","low"
"1","activity_08","yes","yes","no","low"
"1","activity_06","yes","yes","no","low"
"2","activity_03","no","yes","yes","middle"
"2","activity_03","no","yes","yes","middle"
"2","activity_04","no","yes","yes","middle"
"2","activity_03","no","yes","yes","middle"
"2","activity_04","no","yes","yes","middle"
"3","activity_04","yes","no","no","low"
"3","activity_05","yes","no","no","low"
"3","activity_10","yes","no","no","low"
"3","activity_11","yes","no","no","low"
"3","activity_11","yes","no","no","low"
"4","activity_05","no","no","yes","high"
"4","activity_09","no","no","yes","high"
"4","activity_10","no","no","yes","high"
"4","activity_11","no","no","yes","high"
"4","activity_11","no","no","yes","high"
"5","activity_05","no","yes","yes","middle"
"5","activity_07","no","yes","yes","middle"
"5","noise_4","no","yes","yes","middle"
"5","activity_05","no","yes","yes","middle"
"6","activity_08","yes","yes","no","low"
"6","activity_09","yes","yes","no","low"
"6","activity_08","yes","yes","no","low"
"6","activity_06","yes","yes","no","low"
"7","activity_08","yes","yes","no","low"
"7","activity_09","yes","yes","no","low"
"7","activity_08","yes","yes","no","low"
"7","noise_1","yes","yes","no","low"
"7","activity_06","yes","yes","no","low"
"8","activity_02","no","yes","yes","middle"
"8","activity_01","no","yes","yes","middle"
"8","activity_03","no","yes","yes","middle"
"8","activity_04","no","yes","yes","middle"
"8","activity_01","no","yes","yes","middle"
"8","activity_03","no","yes","yes","middle"
"8","activity_03","no","yes","yes","middle"
"9","activity_05","no","no","yes","high"
"9","activity_05","no","no","yes","high"
"9","activity_06","no","no","yes","high"
"9","activity_07","no","no","yes","high"
